time_iso8601,forks_cumulative
2024-07-01 00:00:00+00:00,1
2024-08-13 00:00:00+00:00,2
2024-08-22 00:00:00+00:00,3
2024-09-19 00:00:00+00:00,4
2024-10-21 00:00:00+00:00,5
2024-11-01 00:00:00+00:00,6
2025-01-04 00:00:00+00:00,7
2025-01-23 00:00:00+00:00,8
2025-01-29 00:00:00+00:00,9
2025-01-31 00:00:00+00:00,10
2025-02-19 00:00:00+00:00,11
2025-05-02 00:00:00+00:00,12
2025-06-23 00:00:00+00:00,13
2025-07-13 00:00:00+00:00,14
2025-08-14 00:00:00+00:00,15
2025-10-28 00:00:00+00:00,16
2025-11-29 00:00:00+00:00,17
2025-12-16 00:00:00+00:00,18
2026-01-14 00:00:00+00:00,19
2026-02-25 00:00:00+00:00,20
