url_path,views_total,views_unique
/drexjj/sbitx,142,46
/drexjj/sbitx/wiki,105,38
/drexjj/sbitx/releases,86,39
/drexjj/sbitx/wiki/How-to-Boot-From-USB,42,10
/drexjj/sbitx/wiki/How-to-install-or-upgrade-your-sBitx-application,36,22
/drexjj/sbitx/wiki/Installing-a-sBitx-image-On-Your-SD-Card,25,11
/drexjj/sbitx/blob/main/release_notes.md,24,17
/drexjj/sbitx/releases/tag/sBitx-54-64b-prod,24,10
/drexjj/sbitx/tree/main/web,15,4
/drexjj/sbitx/wiki/Flash-the-Internal-SD-Card-from-a-USB-Drive-using-SD-Card-Copier,13,7
