time_iso8601,stars_cumulative
2024-04-14 00:00:00+00:00,1
2024-04-16 00:00:00+00:00,2
2024-04-28 00:00:00+00:00,3
2024-05-03 00:00:00+00:00,4
2024-06-05 00:00:00+00:00,5
2024-06-16 00:00:00+00:00,6
2024-06-27 00:00:00+00:00,7
2024-07-22 00:00:00+00:00,8
2024-07-23 00:00:00+00:00,9
2024-07-30 00:00:00+00:00,10
2024-08-01 00:00:00+00:00,11
2024-08-17 00:00:00+00:00,12
2024-08-19 00:00:00+00:00,13
2024-08-21 00:00:00+00:00,14
2024-09-02 00:00:00+00:00,15
2024-09-10 00:00:00+00:00,16
2024-10-03 00:00:00+00:00,17
2024-10-10 00:00:00+00:00,18
2024-11-05 00:00:00+00:00,19
2024-11-20 00:00:00+00:00,20
2025-01-19 00:00:00+00:00,22
2025-01-20 00:00:00+00:00,23
2025-01-23 00:00:00+00:00,24
2025-01-24 00:00:00+00:00,25
2025-01-27 00:00:00+00:00,26
2025-02-16 00:00:00+00:00,27
2025-04-22 00:00:00+00:00,28
2025-04-27 00:00:00+00:00,29
2025-05-13 00:00:00+00:00,30
2025-06-02 00:00:00+00:00,31
2025-06-13 00:00:00+00:00,32
2025-06-19 00:00:00+00:00,33
2025-09-05 00:00:00+00:00,34
2025-10-07 00:00:00+00:00,35
2025-10-18 00:00:00+00:00,36
2025-12-23 00:00:00+00:00,37
2026-02-05 00:00:00+00:00,38
2026-02-25 00:00:00+00:00,39
