time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-10 00:00:00+00:00,11,10,112,16
2026-03-11 00:00:00+00:00,3,3,47,13
2026-03-12 00:00:00+00:00,4,4,178,17
2026-03-13 00:00:00+00:00,3,3,43,15
2026-03-14 00:00:00+00:00,3,3,31,11
2026-03-15 00:00:00+00:00,8,7,35,13
2026-03-16 00:00:00+00:00,12,10,96,15
2026-03-17 00:00:00+00:00,10,8,135,15
2026-03-18 00:00:00+00:00,19,13,180,22
2026-03-19 00:00:00+00:00,4,4,108,24
2026-03-20 00:00:00+00:00,4,3,84,20
2026-03-21 00:00:00+00:00,14,9,73,19
2026-03-22 00:00:00+00:00,33,21,96,26
2026-03-23 00:00:00+00:00,3,3,73,20
2026-03-24 00:00:00+00:00,4,4,69,15
2026-03-25 00:00:00+00:00,37,27,286,23
2026-03-26 00:00:00+00:00,20,15,179,26
2026-03-27 00:00:00+00:00,3,2,89,17
2026-03-28 00:00:00+00:00,19,12,93,13
2026-03-29 00:00:00+00:00,26,19,87,23
2026-03-30 00:00:00+00:00,12,8,57,14
2026-03-31 00:00:00+00:00,7,7,103,17
2026-04-01 00:00:00+00:00,14,12,130,13
2026-04-02 00:00:00+00:00,12,8,112,17
2026-04-03 00:00:00+00:00,12,10,76,26
